commodity,variety,source_district,destination_district,buying_price,selling_price,distance_km,transport_cost,gross_margin,expected_margin,route_rank
Apples,American,Malappuram,Thiruchirappalli,9850.00,30000.00,357.63,1966.97,20150.00,18183.04,1
Apples,American,Sanchore,Thiruchirappalli,2600.00,30000.00,2141.85,11780.18,27400.00,15619.83,2
Apples,American,Dindigul,Thiruchirappalli,14000.00,30000.00,116.58,641.19,16000.00,15358.81,3
Apples,American,Katni,Thiruchirappalli,5000.00,30000.00,1812.93,9971.12,25000.00,15028.89,4
Apples,American,"North Goa",Thiruchirappalli,10000.00,30000.00,916.56,5041.08,20000.00,14958.92,5
Apples,American,Chhatarpur,Thiruchirappalli,5000.00,30000.00,1963.49,10799.20,25000.00,14200.81,6
Apples,American,"East Champaran/ Motihari",Thiruchirappalli,3250.00,30000.00,2342.56,12884.08,26750.00,13865.92,7
Apples,American,Nalanda,Thiruchirappalli,4700.00,30000.00,2180.58,11993.19,25300.00,13306.81,8
Apples,American,Siwan,Thiruchirappalli,5000.00,30000.00,2267.51,12471.31,25000.00,12528.70,9
Apples,American,Sirsa,Thiruchirappalli,3000.00,30000.00,2646.24,14554.32,27000.00,12445.68,10
Apples,American,Ranipet,Thiruchirappalli,16000.00,30000.00,315.80,1736.90,14000.00,12263.10,11
Apples,American,Malappuram,"Nagercoil (Kannyiakumari)",9850.00,24500.00,437.31,2405.21,14650.00,12244.80,12
Apples,American,Delhi,Thiruchirappalli,4696.00,30000.00,2487.01,13678.56,25304.00,11625.45,13
Apples,American,Sonipat,Thiruchirappalli,4500.00,30000.00,2537.59,13956.75,25500.00,11543.26,14
Apples,American,Mirzapur,Thiruchirappalli,7175.00,30000.00,2055.00,11302.50,22825.00,11522.50,15
Apples,American,Malappuram,Coimbatore,9850.00,22000.00,121.63,668.97,12150.00,11481.04,16
Apples,American,Mohali,Thiruchirappalli,3290.00,30000.00,2774.99,15262.45,26710.00,11447.56,17
Apples,American,Kancheepuram,Thiruchirappalli,17000.00,30000.00,311.34,1712.37,13000.00,11287.63,18
Apples,American,Thiruvarur,Thiruchirappalli,18000.00,30000.00,129.83,714.07,12000.00,11285.94,19
Apples,American,UdhamSinghNagar,Thiruchirappalli,4900.00,30000.00,2535.94,13947.67,25100.00,11152.33,20
Apples,American,Farukhabad,Thiruchirappalli,6200.00,30000.00,2307.45,12690.98,23800.00,11109.03,21
Apples,American,"Bhadohi(Sant Ravi Nagar)",Thiruchirappalli,7460.00,30000.00,2089.90,11494.45,22540.00,11045.55,22
Apples,American,Thiruvannamalai,Thiruchirappalli,18000.00,30000.00,205.39,1129.65,12000.00,10870.36,23
Apples,American,Amritsar,Thiruchirappalli,3000.00,30000.00,2934.99,16142.45,27000.00,10857.56,24
Apples,American,Bhatinda,Thiruchirappalli,4250.00,30000.00,2739.73,15068.52,25750.00,10681.49,25
Apples,American,Malappuram,Erode,9850.00,21750.00,227.48,1251.14,11900.00,10648.86,26
Apples,American,Barabanki,Thiruchirappalli,7185.00,30000.00,2269.68,12483.24,22815.00,10331.76,27
Apples,American,Saharanpur,Thiruchirappalli,5000.00,30000.00,2667.20,14669.60,25000.00,10330.40,28
Apples,American,Salem,Thiruchirappalli,19000.00,30000.00,140.39,772.15,11000.00,10227.86,29
Apples,American,Meerut,Thiruchirappalli,5900.00,30000.00,2531.56,13923.58,24100.00,10176.42,30
Apples,American,Ballia,Thiruchirappalli,7760.00,30000.00,2198.45,12091.48,22240.00,10148.53,31
Apples,American,Buxar,Thiruchirappalli,8000.00,30000.00,2165.95,11912.73,22000.00,10087.28,32
Apples,American,Bhagalpur,Thiruchirappalli,7500.00,30000.00,2282.95,12556.23,22500.00,9943.78,33
Apples,American,Kanpur,Thiruchirappalli,8040.00,30000.00,2185.74,12021.57,21960.00,9938.43,34
Apples,American,Virudhunagar,Thiruchirappalli,19000.00,30000.00,197.49,1086.20,11000.00,9913.81,35
Apples,American,"West Chambaran",Thiruchirappalli,7000.00,30000.00,2394.98,13172.39,23000.00,9827.61,36
Apples,American,Thanjavur,Thiruchirappalli,20000.00,30000.00,60.34,331.87,10000.00,9668.13,37
Apples,American,Malappuram,"The Nilgiris",9850.00,20000.00,96.10,528.55,10150.00,9621.45,38
Apples,American,Kishanganj,Thiruchirappalli,7000.00,30000.00,2447.81,13462.96,23000.00,9537.05,39
Apples,American,Sangrur,Thiruchirappalli,5500.00,30000.00,2727.21,14999.66,24500.00,9500.35,40
Apples,American,Ferozpur,Thiruchirappalli,5300.00,30000.00,2788.65,15337.58,24700.00,9362.43,41
Apples,American,Araria,Thiruchirappalli,7400.00,30000.00,2420.78,13314.29,22600.00,9285.71,42
Apples,American,Chengalpattu,Thiruchirappalli,19000.00,30000.00,313.64,1725.02,11000.00,9274.98,43
Apples,American,Mohali,Sirmore,3290.00,13000.00,85.83,472.07,9710.00,9237.94,44
